Area_Code_and_Description,Code,Description,2001_Census_occupied_private_dwelling_type_Separate_House,2001_Census_occupied_private_dwelling_type_Two_or_More_Flats/Units/Townhouses/_Apartments/Houses_Joined_Together,2001_Census_occupied_private_dwelling_type_Other_Occupied_Private_Dwellings(1),2001_Census_occupied_private_dwelling_type_Occupied_Private_Dwelling_Not_Further_Defined,2001_Census_occupied_private_dwelling_type_Total_occupied_private_dwellings,2006_Census_occupied_private_dwelling_type_Separate_House,2006_Census_occupied_private_dwelling_type_Two_or_More_Flats/Units/Townhouses/_Apartments/Houses_Joined_Together,2006_Census_occupied_private_dwelling_type_Other_Occupied_Private_Dwellings(1),2006_Census_occupied_private_dwelling_type_Occupied_Private_Dwelling_Not_Further_Defined,2006_Census_occupied_private_dwelling_type_Total_occupied_private_dwellings,2013_Census_occupied_private_dwelling_type_Separate_House,2013_Census_occupied_private_dwelling_type_Two_or_More_Flats/Units/Townhouses/_Apartments/Houses_Joined_Together,2013_Census_occupied_private_dwelling_type_Other_Occupied_Private_Dwellings(1),2013_Census_occupied_private_dwelling_type_Occupied_Private_Dwelling_Not_Further_Defined,2013_Census_occupied_private_dwelling_type_Total_occupied_private_dwellings,2001_Census_dwelling_record_type_for_occupied_dwellings_Occupied_Private_Dwelling,2001_Census_dwelling_record_type_for_occupied_dwellings_Occupied_Non-private_Dwelling,2001_Census_dwelling_record_type_for_occupied_dwellings_Total_occupied_dwellings,2006_Census_dwelling_record_type_for_occupied_dwellings_Occupied_Private_Dwelling,2006_Census_dwelling_record_type_for_occupied_dwellings_Occupied_Non-private_Dwelling,2006_Census_dwelling_record_type_for_occupied_dwellings_Total_occupied_dwellings,2013_Census_dwelling_record_type_for_occupied_dwellings_Occupied_Private_Dwelling,2013_Census_dwelling_record_type_for_occupied_dwellings_Occupied_Non-private_Dwelling,2013_Census_dwelling_record_type_for_occupied_dwellings_Total_occupied_dwellings,2001_Census_number_of_rooms_for_occupied_private_dwellings_One_Room,2001_Census_number_of_rooms_for_occupied_private_dwellings_Two_Rooms,2001_Census_number_of_rooms_for_occupied_private_dwellings_Three_Rooms,2001_Census_number_of_rooms_for_occupied_private_dwellings_Four_Rooms,2001_Census_number_of_rooms_for_occupied_private_dwellings_Five_Rooms,2001_Census_number_of_rooms_for_occupied_private_dwellings_Six_Rooms,2001_Census_number_of_rooms_for_occupied_private_dwellings_Seven_Rooms,2001_Census_number_of_rooms_for_occupied_private_dwellings_Eight_or_More_Rooms,2001_Census_number_of_rooms_for_occupied_private_dwellings_Total_dwellings_stated,2001_Census_number_of_rooms_for_occupied_private_dwellings_Not_Elsewhere_Included(2),2001_Census_number_of_rooms_for_occupied_private_dwellings_Total_occupied_private_dwellings,2006_Census_number_of_rooms_for_occupied_private_dwellings_One_Room,2006_Census_number_of_rooms_for_occupied_private_dwellings_Two_Rooms,2006_Census_number_of_rooms_for_occupied_private_dwellings_Three_Rooms,2006_Census_number_of_rooms_for_occupied_private_dwellings_Four_Rooms,2006_Census_number_of_rooms_for_occupied_private_dwellings_Five_Rooms,2006_Census_number_of_rooms_for_occupied_private_dwellings_Six_Rooms,2006_Census_number_of_rooms_for_occupied_private_dwellings_Seven_Rooms,2006_Census_number_of_rooms_for_occupied_private_dwellings_Eight_or_More_Rooms,2006_Census_number_of_rooms_for_occupied_private_dwellings_Total_dwellings_stated,2006_Census_number_of_rooms_for_occupied_private_dwellings_Not_Elsewhere_Included(2),2006_Census_number_of_rooms_for_occupied_private_dwellings_Total_occupied_private_dwellings,2013_Census_number_of_rooms_for_occupied_private_dwellings_One_Room,2013_Census_number_of_rooms_for_occupied_private_dwellings_Two_Rooms,2013_Census_number_of_rooms_for_occupied_private_dwellings_Three_Rooms,2013_Census_number_of_rooms_for_occupied_private_dwellings_Four_Rooms,2013_Census_number_of_rooms_for_occupied_private_dwellings_Five_Rooms,2013_Census_number_of_rooms_for_occupied_private_dwellings_Six_Rooms,2013_Census_number_of_rooms_for_occupied_private_dwellings_Seven_Rooms,2013_Census_number_of_rooms_for_occupied_private_dwellings_Eight_or_More_Rooms,2013_Census_number_of_rooms_for_occupied_private_dwellings_Total_dwellings_stated,2013_Census_number_of_rooms_for_occupied_private_dwellings_Not_Elsewhere_Included(2),2013_Census_number_of_rooms_for_occupied_private_dwellings_Total_occupied_private_dwellings,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_One_Bedroom,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Two_Bedrooms,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Three_Bedrooms,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Four_Bedrooms,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Five_Bedrooms,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Six_Bedrooms,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Seven_Bedrooms,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Eight_or_More_Bedrooms,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Total_dwellings_stated,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Not_Elsewhere_Included(3),2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Total_occupied_private_dwellings,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Mean_Number_of_Bedrooms,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_One_Bedroom,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Two_Bedrooms,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Three_Bedrooms,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Four_Bedrooms,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Five_Bedrooms,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Six_Bedrooms,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Seven_Bedrooms,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Eight_or_More_Bedrooms,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Total_dwellings_stated,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Not_Elsewhere_Included(3),2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Total_occupied_private_dwellings,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Mean_Number_of_Bedrooms,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_One_Bedroom,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Two_Bedrooms,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Three_Bedrooms,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Four_Bedrooms,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Five_Bedrooms,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Six_Bedrooms,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Seven_Bedrooms,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Eight_or_More_Bedrooms,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Total_dwellings_stated,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Not_Elsewhere_Included(3),2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Total_occupied_private_dwellings,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Mean_Number_of_Bedrooms,2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Electricity,2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Mains_Gas,2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Bottled_Gas,2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Wood,2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Coal,2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Solar_Power,2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_No_Fuels_Used_in_this_Dwelling,2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Other_Fuel(s),2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Total_dwellings_stated,2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Not_Elsewhere_Included(5),2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Total_occupied_private_dwellings,2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Electricity,2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Mains_Gas,2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Bottled_Gas,2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Wood,2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Coal,2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Solar_Power,2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_No_Fuels_Used_in_this_Dwelling,2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Other_Fuel(s),2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Total_dwellings_stated,2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Not_Elsewhere_Included(5),2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Total_occupied_private_dwellings,2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Electricity,2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Mains_Gas,2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Bottled_Gas,2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Wood,2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Coal,2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Solar_Power,2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_No_Fuels_Used_in_this_Dwelling,2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Other_Fuel(s),2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Total_dwellings_stated,2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Not_Elsewhere_Included(5),2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Total_occupied_private_dwellings
CMB 07601 Rodney Local Board Area,07601,Rodney Local Board Area,13197,975,159,1074,15402,15519,912,297,984,17712,17481,975,309,1434,20196,15402,81,15483,17712,60,17772,20196,90,20286,78,213,543,1113,2130,3480,2865,4113,14538,864,15402,105,252,663,1215,2187,3603,3240,5523,16788,924,17715,138,237,603,1335,2385,3999,3681,6504,18876,1320,20196,747,2310,6525,3759,888,195,60,57,14541,864,15402,3.2,882,2523,7236,4653,1206,255,48,60,16857,858,17712,3.3,969,2655,7629,5583,1626,357,69,69,18954,1242,20196,3.3,9612,246,4188,8736,603,246,498,114,14625,777,15402,11883,342,5274,9624,585,336,390,249,16833,882,17715,13692,399,3855,10329,384,495,513,264,18873,1323,20196
CMB 07602 Hibiscus and Bays Local Board Area,07602,Hibiscus and Bays Local Board Area,20511,4707,135,1449,26805,23463,5349,198,1053,30063,25083,6267,108,1452,32907,26802,72,26874,30063,60,30123,32907,72,32979,90,309,867,2019,3390,6273,4812,8010,25776,1029,26802,102,351,1068,2172,3654,6612,5535,9705,29196,867,30063,135,306,978,2268,3996,7044,6027,10833,31584,1323,32907,1023,4707,11772,6444,1425,258,57,93,25779,1020,26805,3.2,1218,4995,12786,7902,1968,318,69,75,29331,732,30063,3.2,1245,5130,13023,9324,2457,405,66,54,31701,1206,32907,3.3,20220,2703,7005,7734,891,264,876,201,25866,936,26802,23577,3876,8040,7482,717,303,768,342,29295,768,30063,26610,4440,4725,6666,405,405,1053,267,31563,1341,32907
CMB 07603 Upper Harbour Local Board Area,07603,Upper Harbour Local Board Area,8598,1446,60,465,10572,11088,2637,69,426,14217,12990,3294,84,786,17154,10572,45,10617,14217,27,14247,17154,39,17190,21,84,348,615,1158,2295,1974,3729,10224,345,10572,57,225,579,921,1581,2601,2553,5265,13788,429,14217,96,213,603,1092,1716,2928,2946,6846,16440,711,17154,435,1074,4533,3288,735,126,33,30,10254,315,10572,3.3,747,1587,5232,4638,1269,264,60,48,13848,372,14217,3.4,825,1959,5145,5649,2274,519,102,48,16521,630,17154,3.5,7836,939,3177,3168,324,108,396,84,10239,333,10572,11187,2001,4041,3249,264,162,441,162,13800,420,14217,13950,2943,2880,2943,198,225,648,162,16431,723,17154
CMB 07604 Kaipatiki Local Board Area,07604,Kaipatiki Local Board Area,19701,4998,9,1581,26289,20742,5817,33,1128,27720,20982,5919,54,1551,28506,26289,57,26346,27723,33,27756,28506,42,28551,60,291,1035,2487,3987,7110,4269,6030,25275,1014,26289,99,411,1254,2589,4143,6999,4524,6552,26574,1146,27720,129,294,1029,2757,4419,7224,4527,6627,27006,1500,28509,1098,4659,12900,5070,1215,234,72,84,25332,957,26289,3.1,1227,4803,13299,5478,1497,291,54,84,26733,990,27720,3.1,1269,4776,13005,5913,1728,354,75,39,27156,1350,28506,3.1,19800,3069,6990,8145,1485,255,996,210,25374,915,26289,21717,3315,7512,7515,1122,243,843,312,26616,1104,27720,22944,3186,4344,6441,642,282,1161,273,27036,1470,28509
CMB 07605 Devonport-Takapuna Local Board Area,07605,Devonport-Takapuna Local Board Area,12888,4809,60,1518,19272,13527,5640,66,624,19857,13647,6015,60,774,20499,19272,54,19326,19857,48,19902,20499,69,20568,69,255,921,2334,2907,4263,3195,4731,18678,591,19272,75,330,972,2187,2880,4251,3282,5232,19212,648,19857,90,246,948,2376,2943,4260,3357,5553,19776,723,20499,1101,4602,7986,3879,837,144,45,57,18651,624,19272,3,1158,4437,8010,4410,1029,171,30,45,19284,573,19857,3,1143,4524,7836,4815,1281,192,33,33,19857,642,20499,3.1,15033,4674,3429,4794,1065,141,579,150,18732,540,19272,16041,4989,3687,4332,900,177,504,213,19278,579,19857,16920,4959,2175,3594,486,204,606,168,19794,705,20499
CMB 07606 Henderson-Massey Local Board Area,07606,Henderson-Massey Local Board Area,22221,3423,66,2169,27879,25134,4305,96,2376,31914,27147,4794,156,2415,34509,27876,78,27954,31911,54,31968,34509,75,34584,102,279,1083,2220,4665,8751,3996,4791,25890,1986,27876,99,354,1491,2475,5079,9291,4617,5955,29364,2547,31911,144,252,945,2865,5898,10029,5121,6621,31878,2634,34509,864,3975,15144,4560,1098,225,96,126,26088,1788,27876,3.1,984,4401,16473,5886,1464,321,69,96,29694,2220,31914,3.2,1095,4752,16998,6897,1989,363,81,51,32223,2286,34512,3.2,18885,567,8664,9219,1443,270,1308,258,26022,1854,27876,22581,1014,9807,8742,1137,354,1248,429,29448,2463,31911,25770,1149,6717,7911,714,405,1779,432,31944,2568,34509
CMB 07607 Waitakere Ranges Local Board Area,07607,Waitakere Ranges Local Board Area,12630,1122,39,807,14598,13296,1338,66,1023,15723,14043,1449,90,1101,16680,14598,18,14616,15723,12,15735,16680,30,16710,87,171,579,1026,2016,3819,2427,3645,13767,828,14598,78,234,663,1077,2085,3840,2589,4140,14703,1020,15726,90,219,477,1194,2331,4008,2844,4425,15585,1098,16683,696,2148,7029,2976,693,159,45,54,13800,801,14598,3.1,789,2157,7446,3348,825,147,42,42,14793,930,15723,3.2,822,2172,7581,3846,999,204,42,36,15699,984,16683,3.2,10128,486,4254,7641,912,198,432,159,13812,783,14598,11571,507,4563,7647,759,222,366,222,14733,990,15726,12657,477,2877,7335,432,273,498,174,15597,1086,16683
CMB 07608 Great Barrier Local Board Area,07608,Great Barrier Local Board Area,324,27,45,111,504,354,15,42,66,477,378,15,33,69,501,507,12,516,474,12,489,498,9,507,21,21,51,81,99,78,45,51,441,63,504,24,24,48,75,63,87,45,54,423,54,474,21,21,54,87,87,69,39,60,435,63,498,72,138,165,45,9,6,3,6,444,63,504,2.7,84,129,141,42,9,12,3,6,423,51,474,2.6,81,147,141,42,9,6,3,3,438,63,498,2.6,24,3,198,312,6,33,45,12,441,63,504,24,0,201,303,9,51,27,21,423,54,474,12,0,162,333,6,39,33,12,435,66,498
CMB 07609 Waiheke Local Board Area,07609,Waiheke Local Board Area,2556,192,51,492,3291,3072,186,69,210,3537,3216,201,75,258,3756,3291,30,3321,3534,30,3564,3753,75,3831,39,105,267,480,693,726,354,390,3051,237,3288,51,117,300,468,744,762,456,498,3396,141,3534,57,99,255,480,780,834,459,537,3495,258,3753,372,1047,1179,351,78,12,9,12,3060,228,3291,2.6,402,1146,1338,405,90,18,6,9,3408,129,3534,2.6,405,1122,1398,462,93,30,9,3,3519,234,3756,2.7,2157,18,798,1299,147,66,180,27,3057,231,3288,2607,15,975,1395,114,72,135,66,3399,135,3534,2775,21,651,1443,81,63,141,27,3498,258,3753
CMB 07610 Waitemata Local Board Area,07610,Waitemata Local Board Area,8811,8868,30,2247,19956,8112,15471,57,3333,26973,8574,20853,99,2751,32277,19956,309,20265,26970,198,27168,32277,207,32484,522,1191,2292,3009,3441,3549,2007,2229,18243,1713,19956,1197,2238,3738,3891,3960,3723,2184,2697,23631,3339,26970,1872,2880,5376,5616,4446,3993,2382,3051,29616,2661,32277,4155,5337,5649,2169,684,153,60,75,18282,1674,19956,2.5,6510,7536,6249,2475,693,150,54,87,23760,3210,26973,2.4,8784,10251,6732,2937,789,204,48,51,29796,2481,32277,2.3,13779,5661,2127,3312,1098,114,1851,120,18339,1617,19956,18582,6390,2217,2802,822,159,2625,219,23541,3432,26970,22713,6507,1221,2310,489,210,4671,213,29493,2784,32277
CMB 07611 Whau Local Board Area,07611,Whau Local Board Area,14910,4113,33,2211,21270,15972,5259,48,1701,22980,16665,5496,63,1761,23985,21270,48,21315,22980,36,23016,23988,51,24039,111,327,1281,2427,4008,5553,2877,3159,19746,1524,21270,132,474,1581,2439,4170,5847,3039,3510,21192,1788,22980,171,339,1170,2742,4437,6195,3174,3918,22143,1842,23988,1263,4365,10008,3111,759,159,75,93,19839,1431,21270,3,1455,4488,10635,3531,993,222,45,69,21435,1545,22980,3,1527,4497,10773,4050,1203,267,57,45,22419,1569,23985,3,15177,1512,5139,6024,1128,204,1188,201,19875,1392,21270,17064,1629,5643,5532,834,201,1122,288,21237,1743,22980,18435,1560,3948,4899,525,282,1404,255,22212,1773,23988
CMB 07612 Albert-Eden Local Board Area,07612,Albert-Eden Local Board Area,17778,9123,9,3222,30135,18288,11466,39,1542,31335,18462,11613,66,1821,31959,30132,228,30360,31335,150,31482,31962,159,32121,210,891,2586,4896,4749,5952,3909,5172,28368,1764,30132,252,1071,2718,4875,4896,5769,4164,6039,29790,1545,31335,267,720,2448,5208,4824,5763,4365,6555,30153,1809,31962,3381,8505,9921,4761,1332,279,99,132,28413,1722,30132,2.8,3468,8520,10194,5511,1764,366,84,114,30021,1317,31335,2.9,3210,8343,9936,6180,2115,408,105,75,30378,1584,31959,2.9,22539,7884,4644,7542,2127,216,1482,222,28458,1674,30132,24714,8442,5052,6657,1578,207,1356,315,29844,1488,31335,25539,7977,2988,5352,798,291,1506,264,30174,1788,31962
CMB 07613 Puketapapa Local Board Area,07613,Puketapapa Local Board Area,10764,3090,3,1482,15339,11547,3567,18,1068,16200,12030,3732,24,966,16749,15339,33,15372,16200,39,16236,16749,30,16779,63,279,915,1875,2793,3414,2241,2907,14490,849,15339,78,348,1026,1914,2790,3348,2328,3291,15126,1077,16200,60,207,780,1995,2916,3636,2517,3648,15759,990,16749,939,3435,6516,2718,702,153,48,63,14577,762,15339,3,951,3423,6498,3153,945,204,45,57,15279,924,16200,3.1,927,3348,6444,3657,1173,273,63,33,15921,831,16749,3.1,11799,1731,3186,4545,948,147,642,126,14598,744,15339,12666,1917,3534,3873,726,165,663,189,15144,1056,16200,13419,1917,2616,3141,423,189,858,174,15753,999,16749
CMB 07614 Orakei Local Board Area,07614,Orakei Local Board Area,17370,7284,18,1917,26586,18357,8676,27,1029,28095,18867,8925,27,1380,29196,26586,72,26658,28092,48,28137,29199,45,29238,117,351,1254,3048,3738,5322,4137,7578,25542,1041,26586,147,510,1308,2994,3639,5322,4575,8613,27105,990,28092,105,345,1164,2853,3633,5388,4764,9600,27849,1347,29199,1575,5973,10107,5970,1536,255,72,90,25572,1014,26586,3.1,1779,5976,10260,6909,1854,306,45,72,27204,891,28092,3.1,1536,5553,9981,7938,2442,405,63,57,27975,1224,29199,3.2,21258,7014,3852,6468,1758,177,831,246,25599,987,26586,23313,8259,4242,5790,1323,198,597,282,27135,960,28092,24519,8589,2454,4524,690,267,681,207,27831,1365,29199
CMB 07615 Maungakiekie-Tamaki Local Board Area,07615,Maungakiekie-Tamaki Local Board Area,13215,5676,9,2922,21819,13899,7575,57,1395,22920,13845,8007,45,2091,23988,21819,66,21885,22923,36,22959,23988,45,24033,141,534,1542,4233,5055,4614,1995,1881,19989,1830,21819,123,690,1872,4122,4992,4986,2439,2298,21516,1407,22923,144,357,1560,4551,5073,5142,2517,2532,21879,2106,23988,1470,7215,8592,2184,435,111,60,75,20142,1674,21819,2.7,1617,7419,9348,2646,540,156,36,66,21831,1095,22923,2.7,1611,7422,9135,3027,696,180,39,30,22146,1845,23988,2.8,15096,1818,4563,5094,1461,195,1497,171,20121,1695,21819,17226,1893,5142,4659,1131,198,1338,267,21609,1314,22923,18171,1722,3366,3639,678,216,1554,270,21876,2115,23988
CMB 07616 Howick Local Board Area,07616,Howick Local Board Area,24711,5034,9,1509,31260,29604,6507,30,1065,37206,31932,7470,66,1575,41043,31260,42,31302,37203,39,37245,41046,78,41124,66,225,792,1911,3567,7566,5841,10311,30279,981,31263,87,351,1263,2628,4026,8070,6693,12978,36096,1110,37203,159,312,1029,2829,4515,8667,7398,14583,39489,1557,41046,696,3900,14001,9060,2103,351,75,93,30285,978,31260,3.3,915,4791,15009,11406,3444,519,87,93,36261,942,37206,3.4,1185,5193,14808,12723,4875,753,114,63,39717,1326,41046,3.5,24948,3216,7335,7482,1182,237,1182,216,30327,933,31263,30456,5100,9081,6990,966,327,1323,396,36117,1092,37203,34110,6003,6372,6081,534,423,1803,303,39516,1527,41046
CMB 07617 Mangere-Otahuhu Local Board Area,07617,Mangere-Otahuhu Local Board Area,10113,2412,36,2637,15195,11448,3096,60,2055,16659,11985,3360,99,1986,17427,15198,96,15294,16659,75,16734,17427,96,17529,135,366,945,1596,2982,3777,1617,1815,13227,1968,15195,123,411,1182,1779,2982,3978,1944,2130,14532,2124,16656,132,213,756,2004,3120,4242,2085,2622,15180,2250,17430,807,2643,6699,2298,672,192,72,99,13482,1713,15198,3.1,861,2805,7110,2763,939,276,78,69,14901,1758,16656,3.1,879,2961,6948,3204,1170,303,93,54,15609,1818,17430,3.2,9450,1416,3015,3276,891,216,1380,123,13332,1863,15195,10923,1371,3378,2925,675,222,1320,240,14397,2259,16656,11454,1095,2886,2286,423,234,1851,282,15081,2346,17430
CMB 07618 Otara-Papatoetoe Local Board Area,07618,Otara-Papatoetoe Local Board Area,11964,3594,63,2727,18348,12528,4752,111,1905,19296,12921,4890,147,2073,20031,18348,69,18417,19296,48,19344,20031,63,20091,96,306,1068,2301,3813,4878,2049,2148,16656,1692,18348,96,468,1410,2304,3801,4779,2067,2292,17214,2079,19296,195,246,813,2685,3825,5130,2091,2679,17664,2367,20031,699,4098,8625,2445,702,165,78,96,16911,1434,18348,3,873,4242,8850,2577,756,219,57,69,17640,1656,19296,3,936,4281,8634,2808,1026,282,69,45,18084,1947,20031,3,12108,1059,4425,4767,1224,237,1419,168,16779,1569,18348,13089,1101,4656,4239,933,234,1350,300,17238,2061,19296,13572,987,3879,3270,573,270,1863,300,17652,2382,20031
CMB 07619 Manurewa Local Board Area,07619,Manurewa Local Board Area,15285,2091,21,1692,19086,17424,2466,51,1854,21795,17994,2574,48,2097,22713,19086,42,19131,21795,33,21828,22713,39,22752,45,195,810,1368,3204,6027,2583,3318,17544,1545,19089,60,276,1119,1578,3408,6084,3168,4155,19845,1950,21795,81,156,525,1731,3699,6312,3198,4668,20370,2343,22713,468,2496,10320,3351,756,144,66,96,17700,1389,19089,3.2,528,2730,11061,4452,1053,198,51,51,20115,1677,21795,3.2,564,2760,10680,4956,1353,306,87,42,20748,1965,22713,3.3,12285,1074,6096,5190,1125,198,1152,168,17640,1446,19089,14865,1509,6624,4758,936,225,1110,333,19836,1959,21795,15654,1590,4671,3939,540,255,1719,291,20352,2361,22713
CMB 07620 Papakura Local Board Area,07620,Papakura Local Board Area,9810,1569,33,1038,12453,10809,1965,123,825,13722,11700,2061,87,1080,14928,12450,42,12495,13719,27,13746,14931,36,14967,45,129,462,1065,2283,3513,1854,2358,11709,744,12453,102,201,606,1101,2235,3657,2082,2790,12774,945,13719,108,123,405,1257,2442,3909,2307,3210,13761,1170,14931,330,2241,6042,2475,474,96,33,42,11730,720,12450,3.1,450,2340,6570,2847,552,114,33,42,12954,771,13722,3.1,465,2331,6621,3501,813,153,27,18,13935,993,14931,3.2,8124,876,4047,4110,840,90,552,102,11757,693,12453,9588,945,4575,3933,723,96,495,240,12930,792,13719,10761,1110,3024,3459,423,138,804,219,13818,1113,14931
CMB 07621 Franklin Local Board Area,07621,Franklin Local Board Area,14985,1335,93,1245,17658,17481,1485,198,1050,20214,19815,1680,249,1287,23031,17658,57,17715,20214,39,20253,23028,57,23088,54,192,603,1233,2376,4275,3120,4644,16494,1164,17655,75,240,741,1257,2487,4473,3681,6234,19191,1023,20214,96,207,630,1395,2736,4935,4278,7548,21825,1206,23028,627,2454,7980,4116,993,225,57,69,16518,1137,17655,3.2,744,2655,8748,5355,1398,261,72,60,19293,918,20214,3.3,858,2739,8943,6885,1959,378,75,78,21918,1110,23031,3.4,11112,177,5835,8748,1089,168,522,156,16533,1122,17655,13536,243,7227,9333,900,261,495,327,19269,948,20214,16557,261,5130,9417,606,435,696,291,21831,1200,23028
